Voltage U1	Current IA	Current IA'
U1/V	IA/nA	IA/nA

5,76	0,38	0,37
5,78	0,36	0,37
5,81	0,36	0,37
5,83	0,37	0,37
5,86	0,37	0,37
5,88	0,38	0,37
5,90	0,37	0,37
5,93	0,37	0,38
5,95	0,39	0,38
5,98	0,39	0,37
6,00	0,38	0,37
6,03	0,38	0,37
6,05	0,36	0,37
6,08	0,37	0,37
6,10	0,37	0,37
6,12	0,37	0,38
6,15	0,37	0,38
6,17	0,36	0,38
6,20	0,37	0,38
6,22	0,39	0,38
6,25	0,39	0,38
6,27	0,38	0,38
6,30	0,37	0,38
6,32	0,38	0,38
6,34	0,38	0,38
6,37	0,38	0,38
6,39	0,37	0,38
6,42	0,38	0,38
6,44	0,38	0,38
6,47	0,38	0,38
6,49	0,38	0,38
6,52	0,38	0,38
6,54	0,38	0,38
6,56	0,39	0,38
6,59	0,39	0,38
6,61	0,39	0,38
6,64	0,39	0,38
6,66	0,39	0,38
6,69	0,39	0,38
6,71	0,39	0,38
6,73	0,37	0,38
6,76	0,38	0,38
6,78	0,36	0,38
6,81	0,37	0,38
6,83	0,37	0,38
6,86	0,36	0,38
6,88	0,37	0,38
6,91	0,36	0,38
6,93	0,36	0,38
6,95	0,38	0,38
6,98	0,38	0,38
7,00	0,39	0,38
7,03	0,39	0,38
7,05	0,39	0,38
7,08	0,40	0,38
7,10	0,39	0,38
7,13	0,38	0,39
7,15	0,38	0,39
7,17	0,38	0,39
7,20	0,38	0,39
7,22	0,38	0,39
7,25	0,38	0,39
7,27	0,39	0,39
7,30	0,41	0,39
7,32	0,40	0,39
7,35	0,40	0,39
7,37	0,40	0,39
7,39	0,40	0,39
7,42	0,42	0,39
7,44	0,41	0,39
7,47	0,40	0,39
7,49	0,40	0,39
7,52	0,39	0,39
7,54	0,39	0,39
7,57	0,38	0,39
7,59	0,36	0,39
7,61	0,35	0,39
7,64	0,35	0,39
7,66	0,36	0,39
7,69	0,39	0,39
7,71	0,39	0,39
7,74	0,39	0,39
7,76	0,40	0,39
7,78	0,40	0,39
7,81	0,40	0,39
7,83	0,40	0,39
7,86	0,39	0,39
7,88	0,39	0,39
7,91	0,39	0,39
